vin	V(be)	Ic(Q1)
2.109999999999977e+000	7.505539e-001	2.178437e-004
2.114999999999977e+000	7.506846e-001	2.178431e-004
2.119999999999977e+000	7.508150e-001	2.178424e-004
2.124999999999977e+000	7.509450e-001	2.178418e-004
2.129999999999977e+000	7.510748e-001	2.178412e-004
2.134999999999977e+000	7.512042e-001	2.178406e-004
2.139999999999977e+000	7.513333e-001	2.178399e-004
2.144999999999977e+000	7.514620e-001	2.178393e-004
2.149999999999976e+000	7.515905e-001	2.178387e-004
2.154999999999976e+000	7.517186e-001	2.178380e-004
2.159999999999976e+000	7.518464e-001	2.178374e-004
2.164999999999976e+000	7.519739e-001	2.178368e-004
2.169999999999976e+000	7.521011e-001	2.178362e-004
2.174999999999976e+000	7.522280e-001	2.178355e-004
2.179999999999976e+000	7.523546e-001	2.178349e-004
2.184999999999976e+000	7.524809e-001	2.178343e-004
2.189999999999976e+000	7.526068e-001	2.178337e-004
2.194999999999975e+000	7.527325e-001	2.178330e-004
2.199999999999975e+000	7.528579e-001	2.178324e-004
2.204999999999975e+000	7.529829e-001	2.178318e-004
2.209999999999975e+000	7.531077e-001	2.178312e-004
2.214999999999975e+000	7.532322e-001	2.178305e-004
2.219999999999975e+000	7.533564e-001	2.178299e-004
2.224999999999975e+000	7.534803e-001	2.178293e-004
2.229999999999975e+000	7.536039e-001	2.178287e-004
2.234999999999975e+000	7.537273e-001	2.178280e-004
2.239999999999975e+000	7.538503e-001	2.178274e-004
2.244999999999974e+000	7.539731e-001	2.178268e-004
2.249999999999974e+000	7.540956e-001	2.178262e-004
2.254999999999974e+000	7.542178e-001	2.178255e-004
2.259999999999974e+000	7.543398e-001	2.178249e-004
2.264999999999974e+000	7.544615e-001	2.178243e-004
2.269999999999974e+000	7.545828e-001	2.178237e-004
2.274999999999974e+000	7.547039e-001	2.178230e-004
2.279999999999974e+000	7.548248e-001	2.178224e-004
2.284999999999974e+000	7.549454e-001	2.178218e-004
2.289999999999973e+000	7.550657e-001	2.178212e-004
2.294999999999973e+000	7.551858e-001	2.178205e-004
2.299999999999973e+000	7.553056e-001	2.178199e-004
2.304999999999973e+000	7.554251e-001	2.178193e-004
2.309999999999973e+000	7.555444e-001	2.178187e-004
2.314999999999973e+000	7.556634e-001	2.178181e-004
2.319999999999973e+000	7.557822e-001	2.178174e-004
2.324999999999973e+000	7.559007e-001	2.178168e-004
2.329999999999973e+000	7.560189e-001	2.178162e-004
2.334999999999972e+000	7.561369e-001	2.178156e-004
2.339999999999972e+000	7.562547e-001	2.178149e-004
2.344999999999972e+000	7.563722e-001	2.178143e-004
2.349999999999972e+000	7.564894e-001	2.178137e-004
2.354999999999972e+000	7.566064e-001	2.178131e-004
2.359999999999972e+000	7.567232e-001	2.178125e-004
2.364999999999972e+000	7.568397e-001	2.178118e-004
2.369999999999972e+000	7.569560e-001	2.178112e-004
2.374999999999972e+000	7.570720e-001	2.178106e-004
2.379999999999972e+000	7.571878e-001	2.178100e-004
2.384999999999971e+000	7.573034e-001	2.178094e-004
2.389999999999971e+000	7.574187e-001	2.178087e-004
2.394999999999971e+000	7.575338e-001	2.178081e-004
2.399999999999971e+000	7.576486e-001	2.178075e-004
2.404999999999971e+000	7.577633e-001	2.178069e-004
2.409999999999971e+000	7.578776e-001	2.178063e-004
2.414999999999971e+000	7.579919e-001	2.178056e-004
2.419999999999971e+000	7.581058e-001	2.178050e-004
2.424999999999971e+000	7.582195e-001	2.178044e-004
2.429999999999970e+000	7.583330e-001	2.178038e-004
2.434999999999970e+000	7.584462e-001	2.178032e-004
2.439999999999970e+000	7.585593e-001	2.178025e-004
2.444999999999970e+000	7.586721e-001	2.178019e-004
2.449999999999970e+000	7.587847e-001	2.178013e-004
2.454999999999970e+000	7.588971e-001	2.178007e-004
2.459999999999970e+000	7.590092e-001	2.178001e-004
2.464999999999970e+000	7.591212e-001	2.177994e-004
2.469999999999970e+000	7.592329e-001	2.177988e-004
2.474999999999969e+000	7.593444e-001	2.177982e-004
2.479999999999969e+000	7.594557e-001	2.177976e-004
2.484999999999969e+000	7.595668e-001	2.177970e-004
2.489999999999969e+000	7.596776e-001	2.177963e-004
2.494999999999969e+000	7.597883e-001	2.177957e-004
2.499999999999969e+000	7.598988e-001	2.177951e-004
2.504999999999969e+000	7.600091e-001	2.177945e-004
2.509999999999969e+000	7.601191e-001	2.177939e-004
