time	V(be)	V(ce)	Ib(Q1)	Ic(Q1)	Ie(Q1)
5.958956297473938e-004	5.921481e-001	3.227842e+000	5.842981e-007	1.772158e-004	-1.778001e-004
6.158956297473939e-004	5.901831e-001	3.352730e+000	5.436326e-007	1.647271e-004	-1.652708e-004
6.358956297473939e-004	5.884262e-001	3.457143e+000	5.100382e-007	1.542860e-004	-1.547960e-004
6.558956297473940e-004	5.869055e-001	3.542320e+000	4.830351e-007	1.457684e-004	-1.462514e-004
6.758956297473940e-004	5.856450e-001	3.609444e+000	4.621851e-007	1.390560e-004	-1.395182e-004
6.958956297473941e-004	5.846648e-001	3.659558e+000	4.471167e-007	1.340446e-004	-1.344918e-004
7.158956297473941e-004	5.839804e-001	3.693504e+000	4.375413e-007	1.306501e-004	-1.310877e-004
7.358956297473942e-004	5.836028e-001	3.711882e+000	4.332638e-007	1.288123e-004	-1.292456e-004
7.558956297473942e-004	5.835379e-001	3.715027e+000	4.341885e-007	1.284978e-004	-1.289320e-004
7.758956297473943e-004	5.837867e-001	3.703000e+000	4.403223e-007	1.297006e-004	-1.301409e-004
7.958956297473943e-004	5.843453e-001	3.675578e+000	4.517748e-007	1.324427e-004	-1.328945e-004
8.158956297473944e-004	5.852048e-001	3.632272e+000	4.687561e-007	1.367733e-004	-1.372421e-004
8.358956297473944e-004	5.863515e-001	3.572337e+000	4.915707e-007	1.427667e-004	-1.432583e-004
8.558956297473945e-004	5.877671e-001	3.494812e+000	5.206084e-007	1.505192e-004	-1.510398e-004
8.758956297473946e-004	5.894291e-001	3.398565e+000	5.563271e-007	1.601438e-004	-1.607001e-004
8.958956297473946e-004	5.913112e-001	3.282372e+000	5.992298e-007	1.717630e-004	-1.723623e-004
9.158956297473947e-004	5.933832e-001	3.145017e+000	6.498298e-007	1.854984e-004	-1.861482e-004
9.358956297473947e-004	5.956123e-001	2.985431e+000	7.086034e-007	2.014569e-004	-2.021655e-004
9.558956297473948e-004	5.979630e-001	2.802861e+000	7.759305e-007	2.197138e-004	-2.204897e-004
9.858956297473947e-004	6.016352e-001	2.485599e+000	8.933472e-007	2.514397e-004	-2.523330e-004
1.015895629747395e-003	6.053657e-001	2.118888e+000	1.029943e-006	2.881105e-004	-2.891405e-004
1.045895629747395e-003	6.090220e-001	1.710827e+000	1.183267e-006	3.289161e-004	-3.300994e-004
1.105895629747395e-003	6.156009e-001	8.373083e-001	1.518132e-006	4.162653e-004	-4.177834e-004
1.115895629747395e-003	6.165511e-001	6.947278e-001	1.574516e-006	4.305238e-004	-4.320983e-004
1.125895629747395e-003	6.174487e-001	5.559436e-001	1.630881e-006	4.444044e-004	-4.460353e-004
1.135895629747395e-003	6.182898e-001	4.222441e-001	1.689485e-006	4.577756e-004	-4.594651e-004
1.145895629747395e-003	6.190706e-001	2.957641e-001	1.774033e-006	4.704236e-004	-4.721976e-004
